text,category,clean_text
I am still waiting on my card?,card_arrival,wait card
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,card not arrive NUM week
I have been waiting over a week. Is the card still coming?,card_arrival,wait week card come
Can I track my card while it is in the process of delivery?,card_arrival,track card process delivery
"How do I know if I will get my card, or if it is lost?",card_arrival,know card lose
When did you send me my new card?,card_arrival,send new card
Do you have info about the card on delivery?,card_arrival,info card delivery
What do I do if I still have not received my new card?,card_arrival,receive new card
Does the package with my card have tracking?,card_arrival,package card tracking
I ordered my card but it still isn't here,card_arrival,order card not
Why has my new card still not come?,card_arrival,new card come
"I still haven't received my card after two weeks, is it lost?",card_arrival,not receive card week lose
Can you track my card for me?,card_arrival,track card
Is there a way to track the delivery of my card?,card_arrival,way track delivery card
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,week order card help
Will I be able to track the card that was sent to me?,card_arrival,able track card send
I don't have my card in 1 week.  Should I be worried?,card_arrival,not card NUM week worry
How do I know when my new card is going to arrive?,card_arrival,know new card go arrive
My new card has not been delivered to my home yet. What is going on?,card_arrival,new card deliver home go
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,week issue card not wait
"On the card that is coming, what's the tracking info?",card_arrival,card come s tracking info
What is the status of my card's delivery?,card_arrival,status card delivery
Have you sent out my card yet?,card_arrival,send card
My card isn't here yet.,card_arrival,card not
where is my new card?,card_arrival,new card
It's been a week since you sent my card and I still don't have it.,card_arrival,week send card not
How do I track the card you sent me?,card_arrival,track card send
When will I recieve my new card?,card_arrival,recieve new card
When will I get my new card?,card_arrival,new card
What is the expected delivery date for my card?,card_arrival,expect delivery date card
Is there a tracking number for the card you sent me?,card_arrival,tracking number card send
I would like to track the card you sent to me.,card_arrival,like track card send
Has my card been lost in delivery?,card_arrival,card lose delivery
My new card hasn't came in.,card_arrival,new card not come
Where is the card I ordered 2 weeks ago?,card_arrival,card order NUM week ago
Can I get an update on my replacement card?,card_arrival,update replacement card
How long does it take for a new card to ship?,card_arrival,long new card ship
What's the tracking on the card you sent?,card_arrival,s tracking card send
I haven't received my card and am worried it is lost.,card_arrival,not receive card worried lose
My card still hasn't been delivered,card_arrival,card not deliver
I need to find out where the card is that I ordered.,card_arrival,need find card order
Where is my credit card that was to be mailed?,card_arrival,credit card mail
I ordered my card but it hasn't been delivered yet,card_arrival,order card not deliver
Am I able to track the card that was just sent to me?,card_arrival,able track card send
Can you tell me why I haven't received my new card?,card_arrival,tell not receive new card
I'm still waiting for my new card.,card_arrival,m wait new card
Is my card lost? I am still waiting for it to be delivered.,card_arrival,card lose wait deliver
Should I keep waiting for my card to be delivered?,card_arrival,wait card deliver
Can I track when my card will be delivered?,card_arrival,track card deliver
How can I check on the status of my new card?,card_arrival,check status new card
